10
$bla
c      -2.148745006992        1.272164769996       -0.019786447544 
c      -2.263891756084       -1.309904816946        0.022404485789 
n       0.036872163829       -2.686539321433       -0.062006820262 
c       2.158573352936       -1.330300825468        0.061713351095 
c       2.197301215551        1.348343002852        0.022278084051 
n      -0.008101186074        2.711897102553       -0.007821628611 
h      -3.729501900210        2.497359087901        0.087227227867 
h      -3.660590332280       -2.494566911067        0.147669250100 
h       3.758167313199       -2.660219643764       -0.023909593375 
h       3.908667390444        2.539857426283       -0.272960290447 
