0.00786948 0.02564155 0.06089336 0.00082972 
0.00791230 0.03823381 0.04870649 0.00074791 
0.00795679 0.04630276 0.04123335 0.00064634 
0.00791203 0.03822463 0.04871533 0.00074771 
0.00796557 0.04689077 0.04068124 0.00064160 
0.00801252 0.05041089 0.03789534 0.00052617 
0.00803023 0.04969438 0.03934696 0.00040849 
0.00799308 0.04472215 0.04498278 0.00029627 
0.00787978 0.03514920 0.05508561 0.00019682 
0.00767490 0.02250176 0.06809917 0.00011600 
0.00737024 0.01145630 0.07934049 0.00005801 
0.00696811 0.00499525 0.08584020 0.00002575 
0.00648394 0.00201210 0.08873379 0.00002269 
0.00595055 0.00072758 0.08983596 0.00006204 
0.00540552 0.00016205 0.09018829 0.00032567 
0.00055164 0.00422283 0.09029100 0.00135724 
0.00014390 0.00403246 0.09032607 0.00109350 
0.00390617 0.00123912 0.09024941 0.00118458 
0.00390638 0.00123914 0.09025008 0.00118482 
0.00027192 0.00418527 0.09031029 0.00124760 
0.00014994 0.00375172 0.09048268 0.00094119 
0.00015422 0.00328292 0.09093174 0.00065317 
0.00019741 0.00284382 0.09177561 0.00040906 
0.00025518 0.00244624 0.09309483 0.00020907 
0.00031618 0.00209566 0.09494089 0.00009672 
0.00037452 0.00179614 0.09737846 0.00006935 
0.00042720 0.00155056 0.10049385 0.00013523 
0.00047269 0.00135959 0.01413681 0.09066538 
0.00051017 0.00122128 0.00007505 0.15502515 
0.00053914 0.00112967 0.00025169 0.11235931 
0.00055918 0.00107639 0.00076588 0.10270035 
0.00057019 0.00105053 0.00173848 0.06870940 
0.00057237 0.00104121 0.00324513 0.02880172 
0.00056615 0.00103995 0.00521765 0.02015832 
0.00055216 0.00104259 0.00738790 0.02376380 
0.00053179 0.00104929 0.00932605 0.02736855 
0.00050650 0.00106409 0.01054829 0.02894509 
0.00047841 0.00109209 0.01069980 0.02839785 
0.00044983 0.00113785 0.00970047 0.02585256 
0.00042301 0.00120430 0.00779689 0.02118360 
0.00039980 0.00129328 0.00547763 0.01372328 
0.00038145 0.00140548 0.00328622 0.00357599 
0.00036844 0.00154208 0.00162422 0.00754914 
0.00036112 0.00170401 0.00063441 0.02121073 
0.00035994 0.00189171 0.00023207 0.01333658 
0.00036545 0.00210633 0.00016765 0.07416335 
0.00037899 0.00234857 0.00411115 0.06001491 
0.00040287 0.00261616 0.00331337 0.07365126 
0.00044067 0.00290565 0.00305420 0.07273630 
0.00049787 0.00320856 0.00302820 0.07168881 
0.00058190 0.00351264 0.00310401 0.07062054 
0.00070110 0.00380329 0.00321634 0.06955081 
0.00086322 0.00406604 0.00332630 0.06849975 
0.00107281 0.00428965 0.00340269 0.06750258 
0.00132902 0.00446874 0.00342739 0.06659659 
