c    -2.15009998    1.27225101   -0.01979122
c    -2.26255122   -1.31546994    0.02572646
n     0.03415732   -2.67788807   -0.06214525
c     2.15739515   -1.33091012    0.05636696
c     2.20159452    1.34454196    0.03288967
n    -0.00899601    2.71233547   -0.01437905
h    -3.71919059    2.47441286    0.10687716
h    -3.68223822   -2.47497326    0.12961691
h     3.80516686   -2.63789600   -0.01908292
h     3.88618625    2.51244357   -0.28862802
c    -2.22862073    1.37273642   -0.07301250
c    -2.19470247   -1.27604905    0.08813050
n     0.08265934   -2.86603579   -0.08950774
c     2.13364656   -1.28347641    0.02959363
c     2.19166756    1.30875628    0.17838953
n     0.01443680    2.76249764   -0.10179966
h    -4.17110054    2.46743842    0.21865536
h    -3.98413660   -2.35931865    0.41079887
h     4.01262909   -2.57709069   -0.54869861
h     3.96156743    2.45399190   -0.08152589
c    -2.21395087    1.36292056   -0.13888898
c    -2.13634451   -1.36458385   -0.01394755
n    -0.03338465   -2.61901693    0.04610775
c     2.18045638   -1.22798354   -0.02318305
c     2.19360131    1.31367292   -0.13742374
n     0.01707632    2.58897614    0.20923423
h    -3.95429144    2.28266202   -0.43960410
h    -4.00910357   -2.60338705    0.50809182
h     3.64572243   -2.51519023    0.07305641
h     4.26107305    2.25191128    0.04618193
c    -2.21704714    1.22439587    0.06122137
c    -2.16249767   -1.23361990   -0.06651340
n     0.02802756   -2.65335797   -0.07175409
c     2.17674191   -1.28491766    0.18213042
c     2.19515000    1.29761306   -0.10727589
n    -0.01078257    2.60020278    0.01200278
h    -3.87133421    2.72147497    0.11277372
h    -3.97229276   -2.12652166    0.14954950
h     3.76136491   -2.32883884   -0.02775365
h     3.93385945    2.43107143   -0.23339204
c    -2.13960999    1.26467401    0.01602167
c    -2.08313760   -1.34570139   -0.01509776
n    -0.09686322   -2.68886672   -0.03707203
c     2.11198467   -1.36811949    0.06215896
c     2.29879443    1.44467888   -0.03883937
n    -0.07224030    2.69378524    0.00386120
h    -3.92312192    2.26737750    0.06768127
h    -4.14271001   -2.27957816    0.09171371
h     3.96726128   -2.43640352    0.08408947
h     4.20724302    2.43351290   -0.07096953
c    -2.13470449    1.32628247    0.03268480
c    -2.26702933   -1.29030960   -0.03925645
n     0.06170035   -2.72140110   -0.06993264
c     2.21618930   -1.34251754    0.05866054
c     2.15708736    1.29809312   -0.02886894
n    -0.01549620    2.73170241   -0.00163725
h    -4.01072396    2.46466201   -0.14877069
h    -3.94501961   -2.48950891    0.62636593
h     3.85702611   -2.31317472    0.21710175
h     3.79588579    2.29561488    0.02299067
c    -2.17529357    1.25774125   -0.03599482
c    -2.11879717   -1.36518355    0.02342107
n     0.03878069   -2.79262848    0.00574275
c     2.01628229   -1.30573497   -0.00686739
c     2.16813591    1.28982413   -0.01911131
n     0.04553639    2.88563436    0.00587605
h    -3.75557673    2.44741656    0.19443515
h    -3.90809939   -2.29091211   -0.08920045
