c     0.00006282   -0.00003021   -0.00000742
c    -0.00012746    0.00027668   -0.00015675
n     0.00015744   -0.00041796    0.00000283
c     0.00003718    0.00004358    0.00026562
c    -0.00020685    0.00016445   -0.00050891
n     0.00003379   -0.00001694    0.00031980
h    -0.00027191    0.00104655   -0.00093404
h     0.00163422   -0.00060047    0.00086219
h    -0.00228980   -0.00119421   -0.00026130
h     0.00106293    0.00137418    0.00070627
c    -0.00004196    0.00039568   -0.00003917
c    -0.00015340   -0.00029091    0.00023761
n    -0.00028983   -0.00011750   -0.00010383
c     0.00074649   -0.00022655    0.00003122
c     0.00027671    0.00013249    0.00004607
n    -0.00009978   -0.00006958   -0.00004630
h    -0.00255822    0.00000688    0.00056196
h     0.00133208    0.00130264   -0.00155765
h    -0.00206367    0.00160284    0.00054004
h    -0.00116275   -0.00044063   -0.00074444
c     0.00015518    0.00023708   -0.00034980
c     0.00063761    0.00049426    0.00003445
n    -0.00027022    0.00011698    0.00017772
c    -0.00039224    0.00007741    0.00005249
c     0.00021708    0.00026568   -0.00017334
n    -0.00019628   -0.00072038    0.00029503
h     0.00084153   -0.00318366   -0.00017789
h    -0.00075446   -0.00071213    0.00012809
h     0.00062887    0.00146080   -0.00191666
h    -0.00159497   -0.00198597    0.00059645
c     0.00044287   -0.00004364    0.00010301
c     0.00013438    0.00003492   -0.00017742
n     0.00040111   -0.00009689    0.00007444
c    -0.00021046   -0.00027510    0.00012591
c     0.00020949    0.00016726   -0.00017234
n    -0.00035353    0.00005277    0.00003933
h    -0.00391996    0.00158761   -0.00010445
h    -0.00330409    0.00012020    0.00012557
h    -0.00227145   -0.00023444   -0.00053069
h     0.00196654    0.00052900    0.00036903
c     0.00041109    0.00022881   -0.00000173
c     0.00030510   -0.00061456    0.00025357
n    -0.00040145    0.00005155   -0.00020504
c    -0.00033470    0.00057984    0.00021404
c     0.00049383   -0.00016253   -0.00052820
n    -0.00025719    0.00013573    0.00014439
h    -0.00025253   -0.00057701   -0.00096806
h    -0.00024227    0.00015181   -0.00008764
h     0.00126811   -0.00143615    0.00031383
h    -0.00205376   -0.00111689    0.00232726
c     0.00015763   -0.00044708   -0.00011083
c    -0.00028626   -0.00002592   -0.00000351
n     0.00021913   -0.00019953   -0.00005908
c    -0.00024584   -0.00046976    0.00010852
c    -0.00026423    0.00080183    0.00003772
n     0.00054200    0.00018523    0.00010246
h    -0.00200251    0.00227683    0.00146711
h    -0.00024991    0.00006276   -0.00110750
h     0.00069141    0.00013126    0.00129357
h    -0.00140258   -0.00059279   -0.00263594
c    -0.00011644   -0.00011233    0.00018923
c     0.00016186   -0.00011818    0.00019903
n     0.00028723    0.00030524   -0.00017458
c    -0.00051035   -0.00043046    0.00028479
c     0.00014983    0.00010464   -0.00033745
n    -0.00005425   -0.00006787    0.00002585
h     0.00143364    0.00076498   -0.00128512
h     0.00113310    0.00124433   -0.00112132
h    -0.00120979   -0.00088106   -0.00036881
h    -0.00083880    0.00220390    0.00084218
c    -0.00056503    0.00008195    0.00004396
c     0.00014880   -0.00008784    0.00019037
n    -0.00006569   -0.00018794   -0.00010841
c     0.00012583    0.00005146    0.00022479
c     0.00003285    0.00007066   -0.00006452
n    -0.00002532   -0.00013252   -0.00004408
h     0.00276591   -0.00045889   -0.00087762
h     0.00124995    0.00250958   -0.00065620
h    -0.00128073    0.00165438   -0.00157666
h     0.00159881   -0.00063755    0.00052654
c    -0.00003903    0.00007384    0.00012967
c     0.00039049   -0.00015763    0.00000005
n    -0.00024524    0.00017642   -0.00001397
c    -0.00004009   -0.00005424   -0.00010453
c     0.00019375   -0.00024684    0.00010816
n    -0.00034629    0.00032892   -0.00010314
h    -0.00022241   -0.00208549   -0.00000134
h    -0.00165087    0.00106348   -0.00039146
h     0.00279858   -0.00125923    0.00084626
h     0.00127377   -0.00015342   -0.00041552
c    -0.00004420   -0.00018250    0.00001212
c    -0.00029982    0.00040529    0.00013951
n     0.00028669   -0.00001838   -0.00004682
c     0.00025286   -0.00000812   -0.00008303
c    -0.00031689   -0.00062698    0.00016517
n    -0.00012429    0.00009966   -0.00013399
h     0.00028453    0.00109797   -0.00017017
h     0.00209410    0.00204976   -0.00019368
h     0.00162477    0.00024543   -0.00022678
h    -0.00139682    0.00039128    0.00031684
c     0.00031619    0.00019230    0.00007386
c    -0.00024075    0.00042099   -0.00015954
n     0.00027823   -0.00034990    0.00007166
c    -0.00034977    0.00011559    0.00002021
c     0.00021296   -0.00028763    0.00007070
n    -0.00026228    0.00008731   -0.00010583
h     0.00126348   -0.00190822    0.00100920
h     0.00133312   -0.00088449   -0.00022629
h    -0.00065613    0.00036223   -0.00001920
h    -0.00143071    0.00082033   -0.00035133
